Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20160101:0800,16.4,13.0,66.0,10.0
3925,20160101:0800,17.1,15.3,82.0,14.0
15752,20160102:0800,16.2,13.7,74.0,11.6
3925,20160102:0800,16.8,16.3,95.0,16.0
15752,20160103:0800,10.8,9.8,87.0,8.7
3925,20160103:0800,17.7,17.2,95.0,16.9
15752,20160104:0800,9.6,7.0,66.0,3.6
3925,20160104:0800,13.7,9.6,55.0,4.8
15752,20160105:0800,12.2,9.5,68.0,6.5
3925,20160105:0800,12.8,10.8,77.0,8.9
15752,20160106:0800,14.9,12.0,69.0,9.3
3925,20160106:0800,15.0,13.3,82.0,12.0
15752,20160107:0800,14.7,12.3,74.0,10.1
3925,20160107:0800,12.7,11.2,82.0,9.7
15752,20160108:0800,13.5,12.7,91.0,12.1
3925,20160108:0800,17.9,17.3,94.0,16.9
15752,20160109:0800,11.6,8.8,66.0,5.5
3925,20160109:0800,12.8,11.3,82.0,9.8
15752,20160110:0800,11.6,7.4,51.0,1.8
3925,20160110:0800,13.7,12.3,84.0,11.0
15752,20160111:0800,13.1,8.2,46.0,1.8
3925,20160111:0800,13.6,11.0,71.0,8.5
15752,20160112:0800,15.6,12.6,69.0,10.0
3925,20160112:0800,14.1,12.4,81.0,10.9
15752,20160113:0800,10.3,8.4,76.0,6.3
3925,20160113:0800,14.6,12.5,77.0,10.6
15752,20160114:0800,12.9,9.9,66.0,6.7
3925,20160114:0800,17.2,14.7,75.0,12.7
15752,20160115:0800,13.6,12.7,89.0,11.8
3925,20160115:0800,15.5,13.8,82.0,12.5
15752,20160116:0800,11.3,8.7,68.0,5.6
3925,20160116:0800,14.6,14.2,95.0,13.8
15752,20160117:0800,12.7,10.6,76.0,8.6
3925,20160117:0800,17.8,17.2,94.0,16.8
15752,20160118:0800,11.0,10.5,93.0,9.9
3925,20160118:0800,17.0,15.8,88.0,15.0
15752,20160119:0800,13.1,12.9,97.0,12.6
3925,20160119:0800,16.0,15.7,97.0,15.5
15752,20160120:0800,14.2,12.9,85.0,11.7
3925,20160120:0800,16.2,15.2,89.0,14.4
15752,20160121:0800,18.2,15.1,70.0,12.7
3925,20160121:0800,15.6,14.1,84.0,12.9
15752,20160122:0800,19.0,15.9,71.0,13.6
3925,20160122:0800,16.2,14.9,86.0,13.9
15752,20160123:0800,18.9,16.7,79.0,15.2
3925,20160123:0800,16.8,15.8,90.0,15.2
15752,20160124:0800,17.6,15.5,79.0,13.9
3925,20160124:0800,18.7,16.2,76.0,14.4
15752,20160125:0800,16.5,15.7,92.0,15.2
3925,20160125:0800,19.6,18.1,86.0,17.2
15752,20160126:0800,12.2,12.1,99.0,12.1
3925,20160126:0800,19.3,18.3,90.0,17.6
15752,20160127:0800,11.4,10.0,83.0,8.6
3925,20160127:0800,18.6,18.1,95.0,17.8
15752,20160128:0800,11.1,10.2,89.0,9.4
3925,20160128:0800,14.1,13.8,96.0,13.5
