Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20170101:0000,18.0,15.8,78.0,14.1
3925,20170101:0000,15.8,15.0,91.0,14.3
15752,20170101:0100,17.3,15.6,83.0,14.4
3925,20170101:0100,16.2,15.4,91.0,14.7
15752,20170101:0200,17.4,15.6,82.0,14.3
3925,20170101:0200,16.2,15.4,91.0,14.7
15752,20170101:0300,16.7,15.5,87.0,14.5
3925,20170101:0300,16.4,15.7,93.0,15.3
15752,20170101:0400,16.9,15.5,86.0,14.6
3925,20170101:0400,16.7,16.0,93.0,15.6
15752,20170101:0500,16.3,14.9,85.0,13.8
3925,20170101:0500,16.7,16.0,93.0,15.6
15752,20170101:0600,17.0,15.3,83.0,14.1
3925,20170101:0600,16.7,16.0,93.0,15.6
15752,20170101:0700,19.3,16.1,70.0,13.7
3925,20170101:0700,17.0,16.2,92.0,15.7
15752,20170101:0800,15.6,14.3,86.0,13.3
3925,20170101:0800,18.2,17.2,90.0,16.5
15752,20170101:0900,15.7,14.5,87.0,13.6
3925,20170101:0900,18.2,17.0,88.0,16.2
15752,20170101:1000,16.2,14.5,82.0,13.1
3925,20170101:1000,19.5,17.6,82.0,16.4
15752,20170101:1100,15.6,13.6,79.0,12.0
3925,20170101:1100,22.4,18.0,63.0,15.0
15752,20170101:1200,16.3,13.9,75.0,11.9
3925,20170101:1200,23.1,18.5,62.0,15.4
15752,20170101:1300,16.2,13.8,75.0,11.8
3925,20170101:1300,21.5,16.7,59.0,13.2
15752,20170101:1400,17.0,14.3,73.0,12.1
3925,20170101:1400,20.1,16.7,69.0,14.3
15752,20170101:1500,16.4,14.2,77.0,12.4
3925,20170101:1500,21.4,16.5,58.0,12.8
15752,20170101:1600,16.8,14.2,74.0,12.2
3925,20170101:1600,21.0,16.1,58.0,12.4
15752,20170101:1700,16.8,14.1,73.0,11.9
3925,20170101:1700,20.5,15.7,58.0,12.0
15752,20170101:1800,16.3,13.9,75.0,11.9
3925,20170101:1800,19.6,15.4,62.0,12.1
15752,20170101:1900,16.8,14.2,74.0,12.2
3925,20170101:1900,18.6,15.0,66.0,12.1
15752,20170101:2000,16.0,13.1,70.0,10.6
3925,20170101:2000,17.6,14.4,69.0,11.9
15752,20170101:2100,12.7,11.4,85.0,10.3
3925,20170101:2100,16.9,14.3,74.0,12.3
15752,20170101:2200,12.1,10.3,79.0,8.6
3925,20170101:2200,15.9,14.2,82.0,12.8
15752,20170101:2300,11.3,9.7,80.0,8.0
3925,20170101:2300,15.3,13.8,84.0,12.6
15752,20170102:0000,10.6,9.0,80.0,7.3
3925,20170102:0000,14.6,13.5,88.0,12.6
15752,20170102:0100,10.3,8.9,82.0,7.4
3925,20170102:0100,13.9,12.9,89.0,12.1
15752,20170102:0200,10.2,9.0,84.0,7.6
3925,20170102:0200,13.1,12.4,92.0,11.8
15752,20170102:0300,9.7,8.6,85.0,7.3
3925,20170102:0300,13.2,12.6,93.0,12.1
15752,20170102:0400,9.6,8.0,79.0,6.2
3925,20170102:0400,13.4,12.7,92.0,12.1
15752,20170102:0500,10.0,7.9,73.0,5.4
3925,20170102:0500,13.5,12.8,92.0,12.2
15752,20170102:0600,9.7,7.8,75.0,5.5
3925,20170102:0600,13.8,13.0,91.0,12.4
15752,20170102:0700,10.2,8.5,78.0,6.5
3925,20170102:0700,14.6,13.7,90.0,13.0
15752,20170102:0800,10.4,8.2,72.0,5.6
3925,20170102:0800,16.0,14.5,84.0,13.3
15752,20170102:0900,12.0,8.8,62.0,5.0
3925,20170102:0900,18.6,15.8,73.0,13.7
15752,20170102:1000,12.6,9.9,69.0,7.1
3925,20170102:1000,19.5,15.7,65.0,12.8
15752,20170102:1100,12.6,9.5,64.0,6.0
3925,20170102:1100,21.3,16.6,60.0,13.2
15752,20170102:1200,12.5,9.2,62.0,5.4
3925,20170102:1200,21.3,16.4,58.0,12.7
15752,20170102:1300,12.3,8.7,58.0,4.3
3925,20170102:1300,22.7,17.0,54.0,12.9
15752,20170102:1400,12.0,8.5,59.0,4.3
3925,20170102:1400,22.6,17.2,56.0,13.4
15752,20170102:1500,12.0,8.2,56.0,3.5
3925,20170102:1500,20.8,16.2,60.0,12.8
15752,20170102:1600,12.7,8.6,54.0,3.7
3925,20170102:1600,20.2,16.3,65.0,13.4
15752,20170102:1700,12.4,8.5,55.0,3.6
3925,20170102:1700,18.0,14.8,69.0,12.3
15752,20170102:1800,11.9,8.2,57.0,3.7
3925,20170102:1800,17.2,14.5,73.0,12.3
15752,20170102:1900,11.4,8.1,61.0,4.2
3925,20170102:1900,16.4,14.2,77.0,12.4
15752,20170102:2000,11.1,8.2,65.0,4.8
3925,20170102:2000,15.8,14.0,81.0,12.6
15752,20170102:2100,11.3,8.8,69.0,5.8
3925,20170102:2100,15.7,13.9,81.0,12.5
15752,20170102:2200,11.4,8.8,68.0,5.7
3925,20170102:2200,15.6,13.8,81.0,12.4
15752,20170102:2300,11.6,9.3,72.0,6.7
3925,20170102:2300,15.6,13.6,79.0,12.0
15752,20170103:0000,11.8,9.4,71.0,6.7
3925,20170103:0000,15.6,13.9,82.0,12.6
15752,20170103:0100,11.6,9.4,73.0,6.9
3925,20170103:0100,14.7,13.7,89.0,12.9
15752,20170103:0200,11.6,9.7,77.0,7.7
3925,20170103:0200,14.2,13.5,92.0,12.9
15752,20170103:0300,11.8,10.2,80.0,8.5
3925,20170103:0300,14.2,13.7,94.0,13.2
15752,20170103:0400,12.1,10.3,79.0,8.6
3925,20170103:0400,13.9,13.4,94.0,13.0
15752,20170103:0500,12.3,10.2,75.0,8.0
3925,20170103:0500,13.9,13.4,94.0,13.0
15752,20170103:0600,11.8,10.1,79.0,8.3
3925,20170103:0600,13.8,13.4,95.0,13.0
15752,20170103:0700,11.4,10.4,87.0,9.3
3925,20170103:0700,14.0,13.6,95.0,13.2
15752,20170103:0800,11.2,10.3,89.0,9.5
3925,20170103:0800,14.2,13.7,94.0,13.2
15752,20170103:0900,11.8,10.9,89.0,10.1
3925,20170103:0900,14.4,13.7,92.0,13.1
15752,20170103:1000,12.2,11.2,88.0,10.3
3925,20170103:1000,14.8,14.1,92.0,13.5
15752,20170103:1100,12.7,11.7,88.0,10.8
3925,20170103:1100,15.1,14.3,91.0,13.6
15752,20170103:1200,13.6,12.4,86.0,11.3
3925,20170103:1200,15.8,14.8,89.0,14.0
15752,20170103:1300,13.3,12.3,88.0,11.4
3925,20170103:1300,16.4,14.8,83.0,13.5
15752,20170103:1400,15.0,13.3,82.0,12.0
3925,20170103:1400,15.7,14.1,83.0,12.8
15752,20170103:1500,15.6,13.6,79.0,12.0
3925,20170103:1500,16.0,14.8,87.0,13.8
15752,20170103:1600,16.1,13.9,77.0,12.1
3925,20170103:1600,16.4,14.8,83.0,13.5
15752,20170103:1700,14.3,13.1,87.0,12.2
3925,20170103:1700,16.3,14.9,85.0,13.8
15752,20170103:1800,13.1,12.6,94.0,12.2
3925,20170103:1800,16.3,14.8,84.0,13.6
15752,20170103:1900,12.8,12.5,96.0,12.2
3925,20170103:1900,16.0,14.7,86.0,13.7
15752,20170103:2000,12.2,10.7,82.0,9.2
3925,20170103:2000,15.4,14.6,91.0,13.9
15752,20170103:2100,12.0,10.1,77.0,8.1
3925,20170103:2100,13.9,13.1,91.0,12.5
15752,20170103:2200,11.1,9.0,74.0,6.7
3925,20170103:2200,13.2,12.4,91.0,11.8
15752,20170103:2300,10.4,8.4,75.0,6.2
3925,20170103:2300,13.0,12.3,92.0,11.7
